candidate_id,category,years_experience,candidate_skills,job_requirements,matched_skills_count,match_score,target_salary,success_index,demographic_group,resume_text_snippet
CAND-0013,Product,2.0,"{""Roadmapping"": 96, ""Wireframing"": 75, ""Agile"": 97}","{""Agile"": 78, ""Analytics"": 76, ""Wireframing"": 80, ""Roadmapping"": 77, ""SaaS"": 78}",3,48.6,118000,50.7,Group_C,"Experienced Product specialist with 2.0 years working with Roadmapping, Wireframing, Agile."
CAND-0014,Design,5.4,"{""Figma"": 96, ""Prototyping"": 66, ""Design Systems"": 64}","{""UI/UX"": 72, ""Design Systems"": 77, ""User Research"": 81, ""Wireframing"": 79, ""Prototyping"": 75}",2,45.0,141000,46.7,Group_C,"Experienced Design specialist with 5.4 years working with Figma, Prototyping, Design Systems."
CAND-0015,Analytics,14.8,"{""Statistics"": 66, ""Machine Learning"": 68, ""Tableau"": 76}","{""SQL"": 74, ""Statistics"": 78, ""Machine Learning"": 79}",2,72.4,218000,72.9,Group_B,"Experienced Analytics specialist with 14.8 years working with Statistics, Machine Learning, Tableau."
CAND-0016,Infrastructure,8.1,"{""Kubernetes"": 62, ""Docker"": 60, ""AWS"": 81, ""Terraform"": 68, ""CI/CD"": 76}","{""Ansible"": 70, ""Linux"": 73, ""Python"": 72}",0,45.0,160000,47.5,Group_B,"Experienced Infrastructure specialist with 8.1 years working with Kubernetes, Docker, AWS, Terraform, CI/CD."
CAND-0017,Analytics,1.5,"{""Machine Learning"": 62, ""Data Modeling"": 79, ""Python"": 83, ""PowerBI"": 62, ""SQL"": 82}","{""Statistics"": 81, ""Python"": 87, ""SQL"": 83}",2,58.4,119000,60.2,Group_B,"Experienced Analytics specialist with 1.5 years working with Machine Learning, Data Modeling, Python, PowerBI, SQL."
CAND-0018,Product,14.7,"{""Scrum"": 86, ""Agile"": 75, ""Product Strategy"": 77, ""SaaS"": 70}","{""Product Strategy"": 76, ""Roadmapping"": 84, ""Agile"": 81, ""Scrum"": 79, ""Wireframing"": 77}",3,63.8,213000,64.7,Group_D,"Experienced Product specialist with 14.7 years working with Scrum, Agile, Product Strategy, SaaS."
CAND-0019,Infrastructure,4.9,"{""Python"": 92, ""AWS"": 85, ""Ansible"": 94}","{""Kubernetes"": 88, ""Docker"": 78, ""CI/CD"": 71, ""Ansible"": 73}",1,45.0,137000,45.5,Group_C,"Experienced Infrastructure specialist with 4.9 years working with Python, AWS, Ansible."
CAND-0020,Design,9.5,"{""Prototyping"": 76, ""Design Systems"": 62, ""UI/UX"": 87}","{""Design Systems"": 81, ""Wireframing"": 83, ""UI/UX"": 72}",2,68.8,179000,70.8,Group_C,"Experienced Design specialist with 9.5 years working with Prototyping, Design Systems, UI/UX."
CAND-0021,Engineering,11.1,"{""PostgreSQL"": 78, ""Python"": 95, ""System Design"": 68, ""JavaScript"": 72, ""TypeScript"": 86}","{""System Design"": 70, ""JavaScript"": 79, ""Python"": 79, ""TypeScript"": 76, ""GraphQL"": 83}",4,78.7,194000,78.0,Group_C,"Experienced Engineering specialist with 11.1 years working with PostgreSQL, Python, System Design, JavaScript, TypeScript."
CAND-0022,Design,7.2,"{""Design Systems"": 78, ""Prototyping"": 92, ""UI/UX"": 81, ""Figma"": 65}","{""HTML/CSS"": 76, ""User Research"": 74, ""UI/UX"": 70}",1,45.0,153000,49.3,Group_A,"Experienced Design specialist with 7.2 years working with Design Systems, Prototyping, UI/UX, Figma."
CAND-0023,Design,6.8,"{""HTML/CSS"": 85, ""Wireframing"": 75, ""Prototyping"": 69, ""Design Systems"": 60}","{""Wireframing"": 75, ""Prototyping"": 86, ""UI/UX"": 84}",2,56.2,155000,55.2,Group_A,"Experienced Design specialist with 6.8 years working with HTML/CSS, Wireframing, Prototyping, Design Systems."
CAND-0024,Design,2.9,"{""HTML/CSS"": 95, ""Design Systems"": 88, ""Wireframing"": 70, ""User Research"": 90, ""UI/UX"": 88, ""Prototyping"": 76}","{""Wireframing"": 86, ""HTML/CSS"": 85, ""User Research"": 90}",3,76.3,136000,74.8,Group_C,"Experienced Design specialist with 2.9 years working with HTML/CSS, Design Systems, Wireframing, User Research, UI/UX, Prototyping."
CAND-0025,Product,4.8,"{""Product Strategy"": 69, ""Wireframing"": 73, ""Scrum"": 64, ""User Research"": 86, ""Roadmapping"": 86}","{""Wireframing"": 83, ""Roadmapping"": 82, ""Agile"": 88, ""Product Strategy"": 70}",3,67.5,146000,68.7,Group_D,"Experienced Product specialist with 4.8 years working with Product Strategy, Wireframing, Scrum, User Research, Roadmapping."
CAND-0026,Design,1.1,"{""User Research"": 74, ""Prototyping"": 77, ""HTML/CSS"": 87, ""UI/UX"": 91, ""Design Systems"": 61}","{""User Research"": 84, ""HTML/CSS"": 74, ""Prototyping"": 89, ""UI/UX"": 87}",4,71.7,121000,70.3,Group_A,"Experienced Design specialist with 1.1 years working with User Research, Prototyping, HTML/CSS, UI/UX, Design Systems."
CAND-0027,Engineering,10.0,"{""GraphQL"": 84, ""JavaScript"": 80, ""React"": 73, ""PostgreSQL"": 89}","{""AWS"": 83, ""System Design"": 78, ""Python"": 72, ""PostgreSQL"": 85}",1,45.0,173000,46.6,Group_C,"Experienced Engineering specialist with 10.0 years working with GraphQL, JavaScript, React, PostgreSQL."
CAND-0028,Product,10.1,"{""Agile"": 61, ""Product Strategy"": 69, ""Scrum"": 75}","{""Wireframing"": 88, ""User Research"": 76, ""Agile"": 84}",1,45.0,174000,48.0,Group_B,"Experienced Product specialist with 10.1 years working with Agile, Product Strategy, Scrum."
CAND-0029,Analytics,9.5,"{""Data Modeling"": 66, ""Python"": 97, ""Tableau"": 61}","{""Machine Learning"": 76, ""Statistics"": 72, ""PowerBI"": 88, ""Data Modeling"": 90}",1,45.0,170000,47.6,Group_C,"Experienced Analytics specialist with 9.5 years working with Data Modeling, Python, Tableau."
CAND-0030,Analytics,12.3,"{""Tableau"": 83, ""Machine Learning"": 64, ""PowerBI"": 92}","{""Tableau"": 83, ""SQL"": 81, ""PowerBI"": 90, ""Machine Learning"": 84, ""Statistics"": 74}",3,62.8,196000,64.2,Group_C,"Experienced Analytics specialist with 12.3 years working with Tableau, Machine Learning, PowerBI."
CAND-0031,Analytics,12.3,"{""PowerBI"": 65, ""Data Modeling"": 77, ""Machine Learning"": 88, ""Tableau"": 75, ""Python"": 89, ""SQL"": 96}","{""Statistics"": 80, ""PowerBI"": 75, ""Tableau"": 85, ""SQL"": 76, ""Python"": 81}",4,80.4,203000,78.0,Group_C,"Experienced Analytics specialist with 12.3 years working with PowerBI, Data Modeling, Machine Learning, Tableau, Python, SQL."
CAND-0032,Analytics,1.1,"{""SQL"": 95, ""Python"": 75, ""PowerBI"": 90, ""Machine Learning"": 91}","{""Data Modeling"": 77, ""SQL"": 82, ""Statistics"": 77, ""Tableau"": 79}",1,45.0,111000,45.6,Group_C,"Experienced Analytics specialist with 1.1 years working with SQL, Python, PowerBI, Machine Learning."
CAND-0033,Design,15.0,"{""User Research"": 76, ""HTML/CSS"": 74, ""Prototyping"": 67, ""Wireframing"": 72, ""UI/UX"": 80}","{""HTML/CSS"": 76, ""Design Systems"": 76, ""UI/UX"": 85}",2,69.4,218000,69.4,Group_C,"Experienced Design specialist with 15.0 years working with User Research, HTML/CSS, Prototyping, Wireframing, UI/UX."
CAND-0034,Engineering,12.7,"{""TypeScript"": 94, ""AWS"": 68, ""JavaScript"": 77, ""GraphQL"": 62, ""React"": 63}","{""Python"": 88, ""JavaScript"": 79, ""GraphQL"": 85, ""React"": 85, ""System Design"": 84}",3,62.3,199000,65.1,Group_C,"Experienced Engineering specialist with 12.7 years working with TypeScript, AWS, JavaScript, GraphQL, React."
CAND-0035,Design,2.6,"{""Prototyping"": 96, ""Wireframing"": 63, ""Figma"": 69}","{""Wireframing"": 72, ""Design Systems"": 77, ""User Research"": 73}",1,45.0,121000,45.9,Group_B,"Experienced Design specialist with 2.6 years working with Prototyping, Wireframing, Figma."
CAND-0036,Analytics,6.3,"{""Tableau"": 66, ""Machine Learning"": 73, ""PowerBI"": 73, ""Data Modeling"": 76, ""Statistics"": 65, ""SQL"": 70}","{""Python"": 75, ""Machine Learning"": 70, ""SQL"": 83}",2,59.6,153000,60.4,Group_C,"Experienced Analytics specialist with 6.3 years working with Tableau, Machine Learning, PowerBI, Data Modeling, Statistics, SQL."
CAND-0037,Engineering,4.2,"{""GraphQL"": 97, ""Node.js"": 72, ""TypeScript"": 87, ""JavaScript"": 67, ""AWS"": 94}","{""JavaScript"": 72, ""Python"": 71, ""Docker"": 75}",1,45.0,132000,47.0,Group_C,"Experienced Engineering specialist with 4.2 years working with GraphQL, Node.js, TypeScript, JavaScript, AWS."
CAND-0038,Design,2.7,"{""HTML/CSS"": 65, ""Prototyping"": 98, ""User Research"": 62, ""Wireframing"": 87, ""UI/UX"": 80}","{""User Research"": 88, ""Figma"": 88, ""HTML/CSS"": 70, ""UI/UX"": 78, ""Wireframing"": 88}",4,60.0,128000,61.7,Group_D,"Experienced Design specialist with 2.7 years working with HTML/CSS, Prototyping, User Research, Wireframing, UI/UX."
CAND-0039,Analytics,10.1,"{""Python"": 90, ""Machine Learning"": 82, ""PowerBI"": 86, ""Statistics"": 81, ""SQL"": 80}","{""SQL"": 85, ""Python"": 79, ""Tableau"": 82, ""PowerBI"": 87, ""Machine Learning"": 71}",4,74.0,185000,72.0,Group_C,"Experienced Analytics specialist with 10.1 years working with Python, Machine Learning, PowerBI, Statistics, SQL."
CAND-0040,Engineering,14.6,"{""PostgreSQL"": 93, ""React"": 83, ""GraphQL"": 91, ""TypeScript"": 88, ""Docker"": 63, ""Node.js"": 73}","{""PostgreSQL"": 85, ""JavaScript"": 73, ""Python"": 70, ""TypeScript"": 90}",2,60.6,211000,59.2,Group_B,"Experienced Engineering specialist with 14.6 years working with PostgreSQL, React, GraphQL, TypeScript, Docker, Node.js."
CAND-0041,Infrastructure,8.7,"{""Docker"": 69, ""Terraform"": 91, ""Linux"": 78, ""Kubernetes"": 92, ""Ansible"": 77, ""AWS"": 86}","{""Ansible"": 74, ""Terraform"": 82, ""Prometheus"": 76, ""Python"": 89}",2,51.7,167000,54.8,Group_A,"Experienced Infrastructure specialist with 8.7 years working with Docker, Terraform, Linux, Kubernetes, Ansible, AWS."
CAND-0042,Infrastructure,11.8,"{""AWS"": 97, ""Python"": 97, ""Linux"": 91, ""Kubernetes"": 69, ""CI/CD"": 88, ""Ansible"": 94}","{""AWS"": 82, ""Prometheus"": 84, ""Python"": 80, ""Linux"": 76}",3,78.0,199000,75.2,Group_D,"Experienced Infrastructure specialist with 11.8 years working with AWS, Python, Linux, Kubernetes, CI/CD, Ansible."
CAND-0043,Product,13.0,"{""Agile"": 69, ""SaaS"": 91, ""User Research"": 62, ""Roadmapping"": 68, ""Analytics"": 92, ""Product Strategy"": 97}","{""Product Strategy"": 86, ""Scrum"": 84, ""Roadmapping"": 70, ""Agile"": 74}",3,73.9,206000,73.9,Group_B,"Experienced Product specialist with 13.0 years working with Agile, SaaS, User Research, Roadmapping, Analytics, Product Strategy."
CAND-0044,Engineering,7.6,"{""AWS"": 94, ""System Design"": 84, ""Node.js"": 80, ""PostgreSQL"": 91, ""JavaScript"": 94}","{""Docker"": 90, ""Node.js"": 79, ""TypeScript"": 77}",1,45.0,156000,46.0,Group_A,"Experienced Engineering specialist with 7.6 years working with AWS, System Design, Node.js, PostgreSQL, JavaScript."
CAND-0045,Engineering,7.2,"{""React"": 78, ""Docker"": 82, ""AWS"": 83, ""System Design"": 87, ""PostgreSQL"": 69}","{""PostgreSQL"": 75, ""System Design"": 75, ""JavaScript"": 72}",2,62.4,160000,61.7,Group_B,"Experienced Engineering specialist with 7.2 years working with React, Docker, AWS, System Design, PostgreSQL."
CAND-0046,Design,13.8,"{""UI/UX"": 76, ""Prototyping"": 60, ""User Research"": 89, ""HTML/CSS"": 78}","{""Design Systems"": 88, ""UI/UX"": 79, ""Figma"": 90, ""Prototyping"": 83, ""HTML/CSS"": 78}",3,65.0,208000,63.6,Group_D,"Experienced Design specialist with 13.8 years working with UI/UX, Prototyping, User Research, HTML/CSS."
CAND-0047,Design,2.5,"{""Design Systems"": 61, ""User Research"": 85, ""Wireframing"": 77, ""HTML/CSS"": 60, ""Prototyping"": 96, ""UI/UX"": 63}","{""HTML/CSS"": 81, ""Prototyping"": 77, ""User Research"": 90, ""UI/UX"": 76, ""Design Systems"": 89}",5,75.8,133000,76.3,Group_B,"Experienced Design specialist with 2.5 years working with Design Systems, User Research, Wireframing, HTML/CSS, Prototyping, UI/UX."
CAND-0048,Engineering,13.6,"{""Python"": 97, ""GraphQL"": 83, ""React"": 68}","{""Python"": 75, ""AWS"": 76, ""System Design"": 74}",1,49.3,200000,52.6,Group_C,"Experienced Engineering specialist with 13.6 years working with Python, GraphQL, React."
CAND-0049,Analytics,8.0,"{""Data Modeling"": 81, ""Python"": 67, ""Tableau"": 89, ""PowerBI"": 64, ""Statistics"": 69}","{""Data Modeling"": 87, ""Statistics"": 81, ""PowerBI"": 72}",3,88.6,176000,83.6,Group_A,"Experienced Analytics specialist with 8.0 years working with Data Modeling, Python, Tableau, PowerBI, Statistics."
CAND-0050,Design,6.2,"{""Design Systems"": 74, ""Prototyping"": 90, ""User Research"": 61, ""Figma"": 95, ""Wireframing"": 80}","{""UI/UX"": 79, ""HTML/CSS"": 90, ""Figma"": 83, ""Prototyping"": 73, ""User Research"": 74}",3,50.7,149000,48.9,Group_D,"Experienced Design specialist with 6.2 years working with Design Systems, Prototyping, User Research, Figma, Wireframing."
CAND-0051,Engineering,2.4,"{""System Design"": 94, ""GraphQL"": 86, ""AWS"": 97, ""PostgreSQL"": 69}","{""Node.js"": 71, ""GraphQL"": 81, ""System Design"": 76, ""JavaScript"": 84}",2,45.0,120000,44.8,Group_C,"Experienced Engineering specialist with 2.4 years working with System Design, GraphQL, AWS, PostgreSQL."
CAND-0052,Engineering,14.7,"{""PostgreSQL"": 72, ""AWS"": 67, ""React"": 89, ""TypeScript"": 65, ""JavaScript"": 73}","{""Docker"": 77, ""React"": 74, ""PostgreSQL"": 88, ""System Design"": 76, ""JavaScript"": 72}",3,69.9,216000,69.6,Group_B,"Experienced Engineering specialist with 14.7 years working with PostgreSQL, AWS, React, TypeScript, JavaScript."
CAND-0053,Product,5.6,"{""Agile"": 94, ""SaaS"": 76, ""Product Strategy"": 71, ""User Research"": 67}","{""Agile"": 88, ""Product Strategy"": 80, ""Wireframing"": 70, ""SaaS"": 75, ""Scrum"": 78}",3,50.0,144000,52.5,Group_A,"Experienced Product specialist with 5.6 years working with Agile, SaaS, Product Strategy, User Research."
CAND-0054,Engineering,7.7,"{""PostgreSQL"": 62, ""Node.js"": 93, ""GraphQL"": 79, ""Python"": 89, ""Docker"": 61}","{""GraphQL"": 73, ""System Design"": 85, ""PostgreSQL"": 84}",2,57.7,162000,55.6,Group_B,"Experienced Engineering specialist with 7.7 years working with PostgreSQL, Node.js, GraphQL, Python, Docker."
CAND-0055,Engineering,2.8,"{""System Design"": 98, ""PostgreSQL"": 87, ""Python"": 66, ""TypeScript"": 67, ""GraphQL"": 95}","{""TypeScript"": 80, ""System Design"": 84, ""GraphQL"": 82, ""Node.js"": 83, ""Docker"": 73}",3,48.9,124000,48.9,Group_C,"Experienced Engineering specialist with 2.8 years working with System Design, PostgreSQL, Python, TypeScript, GraphQL."
CAND-0056,Infrastructure,14.4,"{""Docker"": 66, ""Prometheus"": 83, ""Linux"": 68, ""Kubernetes"": 95, ""AWS"": 63, ""Terraform"": 97}","{""Prometheus"": 81, ""AWS"": 83, ""Ansible"": 71, ""Kubernetes"": 79, ""Terraform"": 89}",4,78.3,217000,74.7,Group_B,"Experienced Infrastructure specialist with 14.4 years working with Docker, Prometheus, Linux, Kubernetes, AWS, Terraform."
CAND-0057,Product,10.2,"{""Product Strategy"": 67, ""SaaS"": 77, ""Analytics"": 96, ""Scrum"": 74}","{""Agile"": 70, ""Analytics"": 75, ""User Research"": 78, ""SaaS"": 79}",2,57.8,180000,57.3,Group_B,"Experienced Product specialist with 10.2 years working with Product Strategy, SaaS, Analytics, Scrum."
CAND-0058,Product,8.9,"{""Product Strategy"": 93, ""Wireframing"": 73, ""User Research"": 84, ""Agile"": 86, ""Analytics"": 89, ""SaaS"": 81}","{""User Research"": 80, ""SaaS"": 88, ""Wireframing"": 89}",3,82.7,180000,78.4,Group_B,"Experienced Product specialist with 8.9 years working with Product Strategy, Wireframing, User Research, Agile, Analytics, SaaS."
CAND-0059,Analytics,1.7,"{""Tableau"": 91, ""PowerBI"": 98, ""Statistics"": 88}","{""Tableau"": 81, ""Python"": 83, ""Machine Learning"": 73, ""SQL"": 79}",1,45.0,115000,47.0,Group_C,"Experienced Analytics specialist with 1.7 years working with Tableau, PowerBI, Statistics."
CAND-0060,Engineering,4.1,"{""React"": 73, ""TypeScript"": 68, ""Python"": 76}","{""AWS"": 83, ""Node.js"": 75, ""React"": 74, ""TypeScript"": 82}",2,45.8,132000,45.5,Group_C,"Experienced Engineering specialist with 4.1 years working with React, TypeScript, Python."
CAND-0061,Engineering,6.6,"{""System Design"": 64, ""React"": 80, ""GraphQL"": 96}","{""Docker"": 73, ""System Design"": 82, ""PostgreSQL"": 70, ""JavaScript"": 80}",1,45.0,149000,49.1,Group_D,"Experienced Engineering specialist with 6.6 years working with System Design, React, GraphQL."
CAND-0062,Infrastructure,2.2,"{""Terraform"": 85, ""Linux"": 93, ""Python"": 65}","{""Python"": 75, ""AWS"": 72, ""Docker"": 86, ""CI/CD"": 90}",1,45.0,118000,46.5,Group_C,"Experienced Infrastructure specialist with 2.2 years working with Terraform, Linux, Python."
CAND-0063,Infrastructure,11.2,"{""Terraform"": 72, ""Docker"": 71, ""Ansible"": 98, ""CI/CD"": 69}","{""Docker"": 84, ""CI/CD"": 88, ""Linux"": 88, ""AWS"": 84, ""Terraform"": 88}",3,63.4,189000,66.2,Group_C,"Experienced Infrastructure specialist with 11.2 years working with Terraform, Docker, Ansible, CI/CD."
CAND-0064,Infrastructure,3.1,"{""Ansible"": 79, ""Prometheus"": 77, ""AWS"": 97}","{""AWS"": 84, ""Docker"": 84, ""CI/CD"": 71}",1,45.0,125000,48.4,Group_A,"Experienced Infrastructure specialist with 3.1 years working with Ansible, Prometheus, AWS."
CAND-0065,Engineering,9.6,"{""GraphQL"": 80, ""PostgreSQL"": 98, ""React"": 90, ""TypeScript"": 92, ""Python"": 69, ""Node.js"": 63}","{""Node.js"": 90, ""AWS"": 75, ""Docker"": 71, ""Python"": 77}",2,54.9,174000,58.5,Group_B,"Experienced Engineering specialist with 9.6 years working with GraphQL, PostgreSQL, React, TypeScript, Python, Node.js."
CAND-0066,Infrastructure,6.2,"{""Linux"": 63, ""Prometheus"": 81, ""Ansible"": 64, ""CI/CD"": 81, ""Python"": 66}","{""Linux"": 74, ""Python"": 80, ""CI/CD"": 72, ""AWS"": 88, ""Ansible"": 74}",4,73.4,158000,71.4,Group_D,"Experienced Infrastructure specialist with 6.2 years working with Linux, Prometheus, Ansible, CI/CD, Python."
CAND-0067,Product,9.3,"{""Analytics"": 81, ""Wireframing"": 68, ""Roadmapping"": 93}","{""Scrum"": 70, ""Analytics"": 81, ""SaaS"": 79}",1,45.0,168000,44.7,Group_D,"Experienced Product specialist with 9.3 years working with Analytics, Wireframing, Roadmapping."
CAND-0068,Product,4.2,"{""SaaS"": 92, ""Agile"": 94, ""Wireframing"": 93, ""Scrum"": 62}","{""User Research"": 74, ""Scrum"": 75, ""Analytics"": 75, ""Product Strategy"": 89, ""Roadmapping"": 75}",1,45.0,132000,43.7,Group_C,"Experienced Product specialist with 4.2 years working with SaaS, Agile, Wireframing, Scrum."
CAND-0069,Product,14.6,"{""Wireframing"": 90, ""Product Strategy"": 72, ""Analytics"": 83, ""Scrum"": 96, ""SaaS"": 88}","{""Analytics"": 86, ""Scrum"": 83, ""Roadmapping"": 75, ""Wireframing"": 76}",3,80.0,219000,76.4,Group_C,"Experienced Product specialist with 14.6 years working with Wireframing, Product Strategy, Analytics, Scrum, SaaS."
CAND-0070,Engineering,10.0,"{""PostgreSQL"": 70, ""Node.js"": 77, ""Docker"": 88, ""JavaScript"": 92, ""React"": 69}","{""Node.js"": 70, ""TypeScript"": 83, ""GraphQL"": 71, ""JavaScript"": 82}",2,53.4,176000,52.5,Group_A,"Experienced Engineering specialist with 10.0 years working with PostgreSQL, Node.js, Docker, JavaScript, React."
CAND-0071,Infrastructure,4.1,"{""Docker"": 62, ""AWS"": 78, ""Linux"": 90, ""Prometheus"": 68, ""Ansible"": 90}","{""Kubernetes"": 76, ""Docker"": 74, ""Prometheus"": 87, ""CI/CD"": 89}",2,45.7,132000,44.7,Group_C,"Experienced Infrastructure specialist with 4.1 years working with Docker, AWS, Linux, Prometheus, Ansible."
CAND-0072,Product,5.2,"{""Roadmapping"": 89, ""Wireframing"": 64, ""User Research"": 67}","{""Agile"": 77, ""User Research"": 74, ""Analytics"": 79, ""Scrum"": 83}",1,45.0,139000,45.5,Group_D,"Experienced Product specialist with 5.2 years working with Roadmapping, Wireframing, User Research."
CAND-0073,Product,10.3,"{""User Research"": 94, ""Agile"": 92, ""Analytics"": 92}","{""Agile"": 81, ""Roadmapping"": 78, ""Scrum"": 70, ""Wireframing"": 81, ""User Research"": 72}",2,45.2,175000,48.0,Group_A,"Experienced Product specialist with 10.3 years working with User Research, Agile, Analytics."
CAND-0074,Analytics,11.3,"{""Python"": 71, ""SQL"": 89, ""Tableau"": 90, ""Machine Learning"": 71, ""PowerBI"": 68}","{""Statistics"": 79, ""PowerBI"": 76, ""SQL"": 71}",2,69.6,192000,71.3,Group_C,"Experienced Analytics specialist with 11.3 years working with Python, SQL, Tableau, Machine Learning, PowerBI."
CAND-0075,Infrastructure,8.2,"{""Python"": 82, ""Kubernetes"": 63, ""Linux"": 81, ""AWS"": 77, ""Docker"": 67, ""CI/CD"": 83}","{""Linux"": 75, ""Ansible"": 85, ""Terraform"": 85, ""CI/CD"": 81}",2,55.2,164000,55.9,Group_A,"Experienced Infrastructure specialist with 8.2 years working with Python, Kubernetes, Linux, AWS, Docker, CI/CD."
CAND-0076,Design,2.1,"{""Design Systems"": 65, ""User Research"": 80, ""HTML/CSS"": 78, ""Figma"": 79}","{""Design Systems"": 84, ""HTML/CSS"": 81, ""Prototyping"": 84, ""UI/UX"": 71}",2,45.1,118000,49.0,Group_D,"Experienced Design specialist with 2.1 years working with Design Systems, User Research, HTML/CSS, Figma."
CAND-0077,Infrastructure,10.0,"{""Docker"": 92, ""Linux"": 70, ""CI/CD"": 61}","{""Ansible"": 72, ""Kubernetes"": 77, ""Docker"": 90}",1,45.0,173000,45.7,Group_A,"Experienced Infrastructure specialist with 10.0 years working with Docker, Linux, CI/CD."
CAND-0078,Analytics,3.1,"{""Tableau"": 93, ""Data Modeling"": 83, ""PowerBI"": 85, ""SQL"": 80, ""Statistics"": 77, ""Machine Learning"": 75}","{""SQL"": 85, ""Statistics"": 86, ""Python"": 82}",2,59.9,131000,57.8,Group_C,"Experienced Analytics specialist with 3.1 years working with Tableau, Data Modeling, PowerBI, SQL, Statistics, Machine Learning."
